date;hellmann
18.02.2019 07:00;0
19.02.2019 07:00;1
20.02.2019 07:00;0
21.02.2019 07:00;9.5
22.02.2019 07:00;0.3
23.02.2019 07:00;0
24.02.2019 07:00;0
25.02.2019 07:00;0
26.02.2019 07:00;0
27.02.2019 07:00;0
28.02.2019 07:00;3.2
01.03.2019 07:00;2.9
02.03.2019 07:00;0.3
03.03.2019 07:00;0
04.03.2019 07:00;0.7
05.03.2019 07:00;3.9
06.03.2019 07:00;0
07.03.2019 07:00;0
08.03.2019 07:00;2
09.03.2019 07:00;2.9
10.03.2019 07:00;12.2
11.03.2019 07:00;3.4
12.03.2019 07:00;0.3
13.03.2019 07:00;0.8
14.03.2019 07:00;9.9
15.03.2019 07:00;5.7
16.03.2019 07:00;3.4
17.03.2019 07:00;2.3
18.03.2019 07:00;1
19.03.2019 07:00;0.3
20.03.2019 07:00;0
21.03.2019 07:00;0
22.03.2019 07:00;0
23.03.2019 07:00;0
24.03.2019 07:00;0
25.03.2019 07:00;1.8
26.03.2019 07:00;0.4
27.03.2019 07:00;2.5
28.03.2019 07:00;3.3
29.03.2019 07:00;0
30.03.2019 07:00;0
31.03.2019 07:00;0
01.04.2019 07:00;0
02.04.2019 07:00;0
03.04.2019 07:00;0
04.04.2019 07:00;0
05.04.2019 07:00;0
06.04.2019 07:00;0
07.04.2019 07:00;0
08.04.2019 07:00;0
09.04.2019 07:00;0
10.04.2019 07:00;0
11.04.2019 07:00;0
12.04.2019 07:00;0
13.04.2019 07:00;0.5
14.04.2019 07:00;3
15.04.2019 07:00;0
16.04.2019 07:00;0
17.04.2019 07:00;0
18.04.2019 07:00;0
19.04.2019 07:00;0
20.04.2019 07:00;0
21.04.2019 07:00;0
22.04.2019 07:00;0
23.04.2019 07:00;0
24.04.2019 07:00;0
25.04.2019 07:00;0
26.04.2019 07:00;15.5
27.04.2019 07:00;1.4
28.04.2019 07:00;0.1
29.04.2019 07:00;14.2
30.04.2019 07:00;0.5
01.05.2019 07:00;0.9
