date;davis5
01.07.2018 00:00;0
18.07.2018 18:26;0.2
28.07.2018 13:09;0.2
28.07.2018 13:11;0.2
28.07.2018 13:12;0.2
28.07.2018 13:13;0.2
28.07.2018 13:15;0.2
28.07.2018 13:17;0.2
28.07.2018 13:19;0.2
28.07.2018 13:22;0.2
28.07.2018 13:35;0.2
28.07.2018 14:09;0.2
28.07.2018 14:18;0.2
02.08.2018 18:30;0.2
02.08.2018 18:31;0.2
02.08.2018 18:31;0.2
02.08.2018 18:31;0.2
02.08.2018 18:33;0.2
02.08.2018 18:33;0.2
02.08.2018 18:34;0.2
02.08.2018 18:34;0.2
02.08.2018 18:35;0.2
02.08.2018 18:35;0.2
02.08.2018 18:35;0.2
02.08.2018 18:36;0.2
02.08.2018 18:36;0.2
02.08.2018 18:36;0.2
02.08.2018 18:36;0.2
02.08.2018 18:37;0.2
02.08.2018 18:38;0.2
02.08.2018 18:38;0.2
02.08.2018 18:39;0.2
02.08.2018 18:41;0.2
02.08.2018 18:44;0.2
02.08.2018 18:46;0.2
02.08.2018 18:47;0.2
02.08.2018 18:48;0.2
02.08.2018 18:48;0.2
02.08.2018 18:49;0.2
02.08.2018 18:49;0.2
02.08.2018 18:53;0.2
03.08.2018 04:07;0.2
03.08.2018 14:44;0.2
03.08.2018 14:57;0.2
03.08.2018 14:57;0.2
05.08.2018 00:52;0.2
05.08.2018 00:52;0.2
05.08.2018 00:53;0.2
05.08.2018 00:53;0.2
05.08.2018 00:53;0.2
05.08.2018 00:53;0.2
05.08.2018 00:53;0.2
05.08.2018 00:53;0.2
05.08.2018 00:53;0.2
05.08.2018 00:54;0.2
05.08.2018 00:54;0.2
05.08.2018 00:54;0.2
05.08.2018 00:54;0.2
05.08.2018 00:54;0.2
05.08.2018 00:54;0.2
05.08.2018 00:55;0.2
05.08.2018 00:55;0.2
05.08.2018 00:55;0.2
05.08.2018 00:55;0.2
05.08.2018 00:55;0.2
05.08.2018 00:55;0.2
05.08.2018 00:56;0.2
05.08.2018 00:56;0.2
05.08.2018 00:56;0.2
05.08.2018 00:56;0.2
05.08.2018 00:57;0.2
05.08.2018 00:57;0.2
05.08.2018 00:58;0.2
05.08.2018 00:58;0.2
05.08.2018 00:59;0.2
05.08.2018 00:59;0.2
05.08.2018 01:01;0.2
05.08.2018 01:02;0.2
08.08.2018 15:02;0.2
08.08.2018 15:03;0.2
08.08.2018 15:04;0.2
08.08.2018 15:04;0.2
08.08.2018 15:06;0.2
08.08.2018 15:08;0.2
08.08.2018 15:32;0.2
08.08.2018 15:36;0.2
08.08.2018 16:11;0.2
08.08.2018 16:14;0.2
13.08.2018 20:50;0.2
13.08.2018 21:20;0.2
17.08.2018 23:26;0.2
17.08.2018 23:27;0.2
17.08.2018 23:28;0.2
17.08.2018 23:29;0.2
17.08.2018 23:30;0.2
17.08.2018 23:30;0.2
17.08.2018 23:31;0.2
17.08.2018 23:31;0.2
17.08.2018 23:32;0.2
17.08.2018 23:32;0.2
17.08.2018 23:33;0.2
17.08.2018 23:33;0.2
17.08.2018 23:34;0.2
17.08.2018 23:34;0.2
17.08.2018 23:35;0.2
17.08.2018 23:35;0.2
17.08.2018 23:36;0.2
17.08.2018 23:36;0.2
17.08.2018 23:36;0.2
17.08.2018 23:37;0.2
17.08.2018 23:37;0.2
17.08.2018 23:38;0.2
17.08.2018 23:38;0.2
17.08.2018 23:39;0.2
17.08.2018 23:40;0.2
17.08.2018 23:41;0.2
17.08.2018 23:42;0.2
17.08.2018 23:43;0.2
17.08.2018 23:44;0.2
17.08.2018 23:45;0.2
17.08.2018 23:46;0.2
17.08.2018 23:46;0.2
17.08.2018 23:48;0.2
17.08.2018 23:48;0.2
17.08.2018 23:49;0.2
17.08.2018 23:50;0.2
17.08.2018 23:51;0.2
17.08.2018 23:51;0.2
17.08.2018 23:52;0.2
17.08.2018 23:53;0.2
17.08.2018 23:54;0.2
17.08.2018 23:55;0.2
17.08.2018 23:56;0.2
17.08.2018 23:57;0.2
17.08.2018 23:58;0.2
17.08.2018 23:59;0.2
18.08.2018 00:00;0.2
18.08.2018 00:00;0.2
18.08.2018 00:01;0.2
18.08.2018 00:01;0.2
18.08.2018 00:02;0.2
18.08.2018 00:02;0.2
18.08.2018 00:03;0.2
18.08.2018 00:04;0.2
18.08.2018 00:04;0.2
18.08.2018 00:05;0.2
18.08.2018 00:05;0.2
18.08.2018 00:06;0.2
18.08.2018 00:07;0.2
18.08.2018 00:08;0.2
18.08.2018 00:09;0.2
18.08.2018 00:10;0.2
18.08.2018 00:12;0.2
18.08.2018 00:14;0.2
18.08.2018 00:17;0.2
18.08.2018 00:19;0.2
18.08.2018 00:24;0.2
18.08.2018 00:26;0.2
18.08.2018 00:27;0.2
18.08.2018 00:28;0.2
18.08.2018 00:30;0.2
18.08.2018 00:32;0.2
18.08.2018 00:37;0.2
18.08.2018 02:35;0.2
18.08.2018 05:09;0.2
21.08.2018 09:05;0.2
24.08.2018 15:32;0.2
24.08.2018 15:37;0.2
30.08.2018 07:02;0.2
30.08.2018 07:17;0.2
30.08.2018 07:34;0.2
30.08.2018 07:55;0.2
30.08.2018 08:01;0.2
30.08.2018 08:06;0.2
30.08.2018 09:02;0.2
30.08.2018 09:03;0.2
30.08.2018 09:04;0.2
30.08.2018 09:04;0.2
30.08.2018 09:05;0.2
30.08.2018 09:05;0.2
30.08.2018 09:06;0.2
30.08.2018 09:06;0.2
30.08.2018 09:06;0.2
30.08.2018 09:07;0.2
30.08.2018 09:08;0.2
30.08.2018 09:08;0.2
30.08.2018 09:09;0.2
30.08.2018 09:09;0.2
30.08.2018 09:09;0.2
30.08.2018 09:10;0.2
30.08.2018 09:10;0.2
30.08.2018 09:10;0.2
30.08.2018 09:10;0.2
30.08.2018 09:10;0.2
30.08.2018 09:11;0.2
30.08.2018 09:11;0.2
30.08.2018 09:11;0.2
30.08.2018 09:12;0.2
30.08.2018 09:12;0.2
30.08.2018 09:13;0.2
30.08.2018 09:13;0.2
30.08.2018 09:14;0.2
30.08.2018 09:14;0.2
30.08.2018 09:15;0.2
30.08.2018 09:15;0.2
30.08.2018 09:16;0.2
30.08.2018 09:20;0.2
30.08.2018 09:22;0.2
30.08.2018 09:23;0.2
30.08.2018 09:25;0.2
30.08.2018 09:28;0.2
30.08.2018 09:31;0.2
30.08.2018 09:33;0.2
30.08.2018 09:35;0.2
30.08.2018 09:38;0.2
30.08.2018 09:44;0.2
30.08.2018 09:53;0.2
30.08.2018 10:27;0.2
30.08.2018 10:45;0.2
30.08.2018 10:48;0.2
30.08.2018 11:00;0.2
30.08.2018 11:13;0.2
30.08.2018 11:50;0.2
30.08.2018 11:57;0.2
30.08.2018 15:23;0.2
30.08.2018 15:27;0.2
30.08.2018 15:28;0.2
30.08.2018 15:45;0.2
30.08.2018 20:18;0.2
30.08.2018 20:19;0.2
30.08.2018 20:19;0.2
30.08.2018 20:20;0.2
30.08.2018 20:21;0.2
30.08.2018 20:22;0.2
30.08.2018 20:23;0.2
30.08.2018 20:29;0.2
30.08.2018 21:57;0.2
30.08.2018 22:11;0.2
30.08.2018 23:01;0.2
01.09.2018 19:44;0.2
01.09.2018 20:17;0.2
01.09.2018 20:36;0.2
01.09.2018 20:45;0.2
01.09.2018 20:51;0.2
01.09.2018 21:08;0.2
01.09.2018 21:17;0.2
01.09.2018 21:35;0.2
01.09.2018 21:43;0.2
01.09.2018 22:29;0.2
01.09.2018 22:32;0.2
01.09.2018 22:41;0.2
01.09.2018 22:48;0.2
01.09.2018 22:59;0.2
01.09.2018 23:14;0.2
01.09.2018 23:40;0.2
02.09.2018 00:15;0.2
02.09.2018 00:47;0.2
02.09.2018 03:24;0.2
02.09.2018 04:39;0.2
02.09.2018 04:48;0.2
02.09.2018 04:51;0.2
02.09.2018 04:54;0.2
02.09.2018 04:58;0.2
02.09.2018 05:03;0.2
02.09.2018 05:09;0.2
02.09.2018 05:14;0.2
02.09.2018 05:27;0.2
02.09.2018 05:38;0.2
02.09.2018 05:53;0.2
02.09.2018 06:16;0.2
02.09.2018 06:29;0.2
02.09.2018 06:34;0.2
02.09.2018 06:39;0.2
02.09.2018 06:47;0.2
02.09.2018 07:31;0.2
02.09.2018 07:42;0.2
